N_unmapped	326327	326327	326327
N_multimapping	12817	12817	12817
N_noFeature	60877	91228	61385
N_ambiguous	11604	73	11508
HHV8GK18_gp01	10	7	3
HHV8_gs01	418	12	407
HHV8GK18_gp38	1	2	0
HHV8GK18_gp39	0	0	0
HHV8GK18_gp62	84	1	83
HHV8GK18_gp63	143	2	141
HHV8GK18_gp64	358	3	355
HHV8GK18_gp65	364	1	364
HHV8GK18_gp79	17026	106	16949
unassigned_gene_1	0	0	0
HHV8_gs02	130	1	129
HHV8_gs03	68	0	68
HHV8_gs04	100	0	100
HHV8_gs05	74	1	73
HHV8_gs06	79	0	79
HHV8_gs07	33	0	33
HHV8_gs08	29	1	28
HHV8_gs09	36	0	37
HHV8_gs10	17	0	17
unassigned_gene_2	317	330	9
